representation,subset,k,aggregation,n_windows,n_frames,n_points,n_labeled,n_species,n_clusters,ari,ami,nmi,purity,homogeneity,completeness,v_measure,silhouette,inertia,elapsed_s,embedding_dim,cluster_space,cluster_dim,umap_dim,l2_normalize,vocal_frames_only,n_frames_before,kmeans_batch_size,frames_per_window,random_state
a2v_3s_vote,single,140.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,79.0,0.12064061125783493,0.22618449097416493,0.6571670683279863,0.4806451612903226,0.6815347960879485,0.634481686603414,0.6571670683279863,0.012354506179690361,19469.845703125,2.128481388092041,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,150.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,78.0,0.15655344146418168,0.26692564043663536,0.6716448728471455,0.5161290322580645,0.6938682091641858,0.650800903959247,0.6716448728471455,-0.006816909648478031,19472.228515625,2.228154420852661,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,160.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,82.0,0.1473781397052503,0.23788004962726408,0.6645245734545409,0.5064516129032258,0.6906389133667797,0.6403131443304487,0.6645245734545409,0.000980402808636427,19363.283203125,2.4798600673675537,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,170.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,78.0,0.17050646793659258,0.2628581491699204,0.6754615656719801,0.5129032258064516,0.7024292421696056,0.6504880176305304,0.6754615656719801,-0.0005119810812175274,19317.8984375,2.450852870941162,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,180.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,89.0,0.1619506860124716,0.2584390116103547,0.6864930678241408,0.535483870967742,0.7240174080471599,0.6526666893015046,0.6864930678241408,0.000449969811597839,19112.234375,2.527360439300537,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,190.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,99.0,0.17842020212762752,0.2798319520288721,0.7060075855675211,0.5806451612903226,0.7533017542479405,0.6643011005789959,0.7060075855675211,0.008495006710290909,19044.583984375,2.71492600440979,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_3s_vote,single,200.0,majority_vote,310.0,48823.0,310.0,310.0,61.0,97.0,0.1685063700122152,0.25952302628129004,0.6982476534877338,0.5612903225806452,0.7455868143005621,0.6565609652052504,0.6982476534877335,0.0001361243485007435,18968.44921875,2.8390491008758545,768.0,native,768.0,,1.0,1.0,186310.0,128.0,601.0,42.0
a2v_5s_vote,single,10.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,10.0,0.04160666584641133,0.120684822942993,0.4360481301950217,0.22695035460992907,0.35387699034243875,0.5679207852155664,0.43604813019502175,0.046995218843221664,14301.3759765625,0.7935447692871094,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,20.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,19.0,0.10333197816030947,0.2062777901987041,0.5766456214326051,0.3404255319148936,0.5150168116599053,0.6550287792612314,0.5766456214326051,0.039978981018066406,13530.1669921875,0.8639354705810547,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,30.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,28.0,0.11562385063528134,0.21086979593806385,0.6432806595174438,0.41134751773049644,0.616697786333581,0.6722584870770151,0.6432806595174437,0.04000280424952507,13006.2451171875,0.9448704719543457,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,40.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,33.0,0.16647559728289368,0.24545347376748378,0.6674576847869635,0.44680851063829785,0.6450022566372762,0.6915330593577443,0.6674576847869635,0.026237133890390396,12745.8642578125,1.057286262512207,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,50.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,38.0,0.13146534948734853,0.21953139529687163,0.678734824720691,0.48936170212765956,0.6723286286025778,0.6852642764815091,0.678734824720691,0.026840094476938248,12437.138671875,1.174443006515503,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,60.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,42.0,0.16047513534893018,0.24396747671017185,0.6990885930650522,0.5177304964539007,0.7005717525148792,0.6976117002531081,0.6990885930650521,0.02419242076575756,12366.7548828125,1.294255256652832,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
a2v_5s_vote,single,70.0,majority_vote,141.0,30372.0,141.0,141.0,44.0,43.0,0.1255360275681663,0.22034422686845126,0.7010081667640553,0.5177304964539007,0.7114719839171768,0.6908476770515501,0.7010081667640553,0.02953261137008667,12141.453125,1.3402795791625977,768.0,native,768.0,,1.0,1.0,141141.0,128.0,1001.0,42.0
