representation,k,nmi,ari,ami,n_windows
a2v_5s_vote,150,0.7435552664754539,0.1457456091427275,0.2389130085456041,141
a2v_5s_vote,160,0.7256544575792877,0.1012572711417559,0.1920776456641207,141
a2v_5s_vote,170,0.7615086290112756,0.1415290449961046,0.2234162982564303,141
a2v_5s_vote,180,0.7640299257488142,0.1448813036099936,0.2351177495830941,141
a2v_5s_vote,190,0.7594876947288356,0.1326989902618427,0.206627961789389,141
a2v_5s_vote,200,0.7672470272261852,0.1624211922794265,0.2526587732825436,141
birdnet_3s,10,0.5146722331275302,0.1071630107019799,0.3735034280009251,310
birdnet_3s,20,0.6122404484135949,0.1605680240218124,0.4184846087337903,310
birdnet_3s,30,0.6541644067215289,0.1859545393658659,0.4453633933469009,310
birdnet_3s,40,0.6891879174073392,0.1915405559496865,0.4698889224894874,310
birdnet_3s,50,0.6978698534460736,0.14759590974073,0.4452917947738062,310
birdnet_3s,60,0.6905960820012366,0.158135764793368,0.4242413938499696,310
birdnet_3s,70,0.6968634452334068,0.1645989713365869,0.3922641488096032,310
birdnet_3s,80,0.7128723238392197,0.1693434302485716,0.4108618129380358,310
birdnet_3s,90,0.748685407618788,0.239482670697119,0.4424612648859862,310
birdnet_3s,100,0.7264710511206551,0.1579857184448247,0.3871123880225797,310
birdnet_3s,110,0.7245307836936467,0.1655647181952734,0.3610019019711069,310
birdnet_3s,120,0.7240637521886202,0.1482401104607217,0.335214254213159,310
birdnet_3s,130,0.7666101584485511,0.2141023599678373,0.4073502895006364,310
birdnet_3s,140,0.7626814732004655,0.168016586624687,0.3759958749481705,310
birdnet_3s,150,0.7643111117040245,0.166519034123495,0.3583758164078732,310
birdnet_3s,160,0.7472019870879812,0.1189633564841008,0.2981333221508961,310
birdnet_3s,170,0.77349381426781,0.1767918760241496,0.363014861780003,310
birdnet_3s,180,0.7651859422316665,0.1303386756537264,0.293495111440791,310
birdnet_3s,190,0.7708305482442325,0.1202956835548954,0.2805814130725292,310
birdnet_3s,200,0.7709822801720205,0.123964250366997,0.2845988785632971,310
perch_5s,10,0.6164303116198303,0.2264586284017055,0.4178754732591089,141
perch_5s,20,0.7548096927669661,0.3885180025745737,0.5482263397922735,141
perch_5s,30,0.8128461482323694,0.5042831497697717,0.6030131530612746,141
perch_5s,40,0.8201178063405037,0.4137557116979334,0.5584433923388519,141
perch_5s,50,0.8425028362217671,0.4473497540723447,0.5872373804110151,141
perch_5s,60,0.8496841026920051,0.5125831104832567,0.5822514187378802,141
perch_5s,70,0.8341351264958153,0.4167669956533092,0.5125149911001091,141
perch_5s,80,0.8107037966505013,0.2132451677251167,0.4090610052387193,141
perch_5s,90,0.8347229808272422,0.3376121225590529,0.4555994684170388,141
perch_5s,100,0.8455146039124196,0.3201884004839403,0.4254583072502003,141
perch_5s,110,0.8307110465827949,0.2393610616989788,0.3501058782188056,141
perch_5s,120,0.8375289541314935,0.2314251433556204,0.3574396251101354,141
perch_5s,130,0.8260249640362222,0.1444715293884559,0.2686521382355956,141
perch_5s,140,0.8232074003779145,0.1849941068945804,0.3027590399590869,141
