model,k,n,ARI_mean,ARI_std,AMI_mean,AMI_std,NMI_mean,NMI_std,RI_mean,RI_std,Silhouette_mean,Silhouette_std
supervised_finetune,190,31,0.35680533721828356,0.018691534397597447,0.742927968955736,0.004346279458600774,0.7455349523259811,0.004304968652610319,0.9821699580544958,0.0003637990733869626,0.29264471511687,0.011056429466573916
supervised_finetune,200,31,0.35021765027651236,0.019452117306613427,0.7441796327742916,0.003697141774506451,0.746898488981018,0.0036620374015309577,0.9822526662960975,0.0003548925443009587,0.2938620275066745,0.012286203664757534
ssl_contrastive,10,31,0.08112077552417099,0.009890876000247791,0.2736740127141875,0.017861848565676207,0.27416176815694826,0.017850525972847964,0.8734897688815939,0.008986313226409083,0.0654253235026713,0.008470332843336384
ssl_contrastive,20,31,0.14403737010064352,0.014134164371836781,0.3623710320184368,0.010882079599447498,0.3631895760335521,0.01086828934639212,0.9316626560477923,0.0036101616743326958,0.08472603511425754,0.005334874340491865
ssl_contrastive,30,31,0.17964180731387905,0.017865439626520718,0.4049383637161662,0.00869612435893691,0.40604426716261377,0.008678443606404245,0.9508839164524068,0.0021090783766347563,0.09475448703573593,0.005892039546081556
ssl_contrastive,40,31,0.2041383328042917,0.021537187451526853,0.43414294934283076,0.009305409250728251,0.43551110733414833,0.009281197702910833,0.9597655701745629,0.0018183304101700242,0.10108162078165236,0.007112450053727278
ssl_contrastive,50,31,0.22010117895897782,0.01933066225056347,0.4554340118194287,0.00841071475062886,0.45704412989922444,0.008386994351118763,0.9654879719484781,0.00115192840245279,0.10290129026097633,0.006441806099201327
ssl_contrastive,60,31,0.22229711651557937,0.021487004143625612,0.4693747888130131,0.00847953870630721,0.47122696346854936,0.008449224719679956,0.9687415807698531,0.0009552689956043396,0.1054890703770422,0.00696667116414589
ssl_contrastive,70,31,0.22622484814233162,0.019994960115899445,0.48331985445715336,0.007168019037258512,0.48539704127865246,0.007139252598626054,0.9709145601591856,0.000836267180662997,0.10497629306008735,0.005509073697164627
ssl_contrastive,80,31,0.22911551806633804,0.0231049651303429,0.4926951077151185,0.008289667448890552,0.49499856833011435,0.00825262778056641,0.9727312700271239,0.0007692968196469968,0.10608036647881228,0.007991401887560649
ssl_contrastive,90,31,0.22494226192803993,0.013328671721793297,0.49895701714144236,0.006851596338221114,0.5014946548964341,0.006814066963918172,0.9736648969395811,0.0004550718439535193,0.10562650378673305,0.007393829464712821
ssl_contrastive,100,31,0.22448664419196007,0.01611163186869142,0.5066453213955538,0.0065471303441928886,0.5093947161930938,0.006510594378238071,0.9747338008975895,0.0005795764454308017,0.10487925477566255,0.0055306752342588065
ssl_contrastive,110,31,0.2212607582538087,0.018128886267774938,0.511922808660787,0.005823930101506565,0.5148933276570804,0.0057855103006491364,0.9754216436530639,0.0005619905609174858,0.10410126274631866,0.006142589151288847
ssl_contrastive,120,31,0.22114568564538278,0.018694035104473282,0.5177464223877917,0.004953370731977556,0.5209238568631358,0.004920364312054098,0.9761559425541734,0.00042622165150397366,0.10356667181176521,0.0047179774457661375
ssl_contrastive,130,31,0.21684409025573195,0.015017113011038419,0.5228422880554218,0.005346021039593159,0.5262300071673067,0.005305546075140347,0.9765381221313683,0.0004235314166316698,0.10252659455422429,0.005365493204508093
