model,trial,seed,selected_k,ari,ami,nmi
ssl_contrastive,8,49,70,0.1945744885026359,0.4763660056589585,0.4784753283740899
ssl_contrastive,9,50,40,0.2106176750849934,0.4400628842469578,0.4414094806579748
ssl_contrastive,10,51,60,0.2161614782132809,0.470506427494075,0.4723498514070305
ssl_contrastive,11,52,70,0.2346565858117474,0.4887510477298653,0.4908182940581657
ssl_contrastive,12,53,60,0.2276566673440418,0.4662232806333883,0.4680737098923124
ssl_contrastive,13,54,60,0.1999414328556514,0.4689991797270608,0.470850887149836
ssl_contrastive,14,55,70,0.2758943132085769,0.4890022216978712,0.4910622934475976
ssl_contrastive,15,56,60,0.2460025683299512,0.4807968945551217,0.4826066319662705
ssl_contrastive,16,57,50,0.2375271328164963,0.4657002888914927,0.4672889828739344
ssl_contrastive,17,58,70,0.2741406195475102,0.4914378625037701,0.4934768839613417
ssl_contrastive,18,59,60,0.2538472185244802,0.4764355453388793,0.4782583132009137
ssl_contrastive,19,60,70,0.2248943755352505,0.4840983289549672,0.4861629874914641
ssl_contrastive,20,61,60,0.2400621091383328,0.4751493433185958,0.4769807572470445
ssl_contrastive,21,62,70,0.2483275732075998,0.4848789406652795,0.4869568650662792
ssl_contrastive,22,63,60,0.2125785904347623,0.4588264691973243,0.4607235517682306
ssl_contrastive,23,64,50,0.2004412183220514,0.4598267742142297,0.4614268678468944
ssl_contrastive,24,65,50,0.2368005360939457,0.4547611873744259,0.4563701134642215
ssl_contrastive,25,66,50,0.2622342380462698,0.4734696117621496,0.4750263785797408
ssl_contrastive,26,67,70,0.2455257019507039,0.4778910731096673,0.4799967629094677
ssl_contrastive,27,68,60,0.2655837671485005,0.4764490315547455,0.4782733870702559
ssl_contrastive,28,69,60,0.2151683139445327,0.4577174390492431,0.4596093647920121
ssl_contrastive,29,70,70,0.2222847660247517,0.4885018327728251,0.4905531183814627
ssl_contrastive,30,71,70,0.2568750533356301,0.4946744096424079,0.4966966535994316
ssl_contrastive,31,72,60,0.2153891739689028,0.4739042862818312,0.4757468054041032
supervised_contrastive,1,42,70,0.2396337923579776,0.5037918050317449,0.5057813356018732
supervised_contrastive,2,43,50,0.2126397315536724,0.4732408011542388,0.4747916985418777
supervised_contrastive,3,44,60,0.2041837098843693,0.4717917098514397,0.4736431925074439
supervised_contrastive,4,45,60,0.2329982960920567,0.4817025718122024,0.4835058807513877
supervised_contrastive,5,46,70,0.2154467836372799,0.4956310931529452,0.4976511127514513
supervised_contrastive,6,47,50,0.2697536147580086,0.4719500352478187,0.4735121406440012
supervised_contrastive,7,48,70,0.2408829579181825,0.49966858860031,0.5016778705235584
supervised_contrastive,8,49,60,0.228451594796696,0.4806814346504671,0.4824909515730774
supervised_contrastive,9,50,50,0.2319795838868593,0.4654507591698654,0.4670265600256895
supervised_contrastive,10,51,70,0.300331170236992,0.5123805658575676,0.5143331570407471
supervised_contrastive,11,52,80,0.2392382386431406,0.5014750393409573,0.5037370485558516
supervised_contrastive,12,53,60,0.1898152415721961,0.4702031512311146,0.47205838264784
supervised_contrastive,13,54,60,0.2127046844018547,0.4776638906288806,0.4794849349614075
supervised_contrastive,14,55,60,0.2349643965789015,0.4789990094186164,0.4808166052809742
supervised_contrastive,15,56,70,0.2413865531303545,0.4987697821709971,0.5007883159133452
supervised_contrastive,16,57,60,0.2335728138075959,0.4824564568307195,0.4842757601458639
supervised_contrastive,17,58,70,0.2703802060754252,0.5026548540149384,0.5046411457383616
supervised_contrastive,18,59,60,0.2650994642398543,0.4898494130021568,0.4916291107541216
supervised_contrastive,19,60,50,0.223504905383097,0.4688192687973962,0.4703899514611226
supervised_contrastive,20,61,60,0.2397448290866233,0.4814658363858076,0.4832688735422537
supervised_contrastive,21,62,60,0.2281141987235239,0.4898502697508773,0.4916288122464298
supervised_contrastive,22,63,60,0.2275482209774299,0.474187144140862,0.4760301757573101
supervised_contrastive,23,64,50,0.2225213017950927,0.4754139939203758,0.4769619390542143
supervised_contrastive,24,65,60,0.2263324446794821,0.4776591527080709,0.4794761675246256
supervised_contrastive,25,66,60,0.3028825236273572,0.4859746094652117,0.4877684304592826
supervised_contrastive,26,67,60,0.2243906775436965,0.4750674760429204,0.476893706471033
supervised_contrastive,27,68,50,0.256126225519792,0.4689644976629398,0.4705375111676815
supervised_contrastive,28,69,60,0.2495956602519314,0.489267898103061,0.4910440766914106
supervised_contrastive,29,70,70,0.2399404776088192,0.502651725032575,0.5046521249139634
supervised_contrastive,30,71,60,0.2814312730116062,0.4904472830093134,0.4922251373055106
