===SWEEPS===
model,trial,seed,k,ARI,AMI,NMI,RI,Silhouette,Inertia
ssl_pretrain,5,46,20,0.04815127997000036,0.17031830177795318,0.17116252204260926,0.8707488628035652,-0.0010893788421526551,399981.53125
ssl_pretrain,5,46,30,0.08372551412530968,0.22213629996559903,0.22323181737343856,0.9032075135969577,0.0022257789969444275,395357.75
ssl_pretrain,5,46,40,0.07261001921634974,0.2079350831901247,0.20917594679649645,0.8920192400684007,0.0055081807076931,394277.1875
ssl_pretrain,5,46,50,0.09336254353117807,0.24489503817777952,0.2463753514619962,0.9082409389210817,0.0034091484267264605,392208.0
ssl_pretrain,5,46,60,0.06519494327020797,0.1872994130738405,0.18864692909011244,0.878333920154194,-0.007259501609951258,397673.5
ssl_pretrain,5,46,70,0.10084159753946934,0.2529024869836443,0.2544406529542086,0.9181177342191253,-0.013350880704820156,390627.6875
ssl_pretrain,5,46,80,0.08680764890385939,0.22610879275877582,0.2278877326920921,0.9028400035466478,-0.021311357617378235,392995.34375
ssl_pretrain,5,46,90,0.05872457361853998,0.1982267311640814,0.20043249391510382,0.9068122820922505,-0.007287845015525818,389858.46875
ssl_pretrain,5,46,100,0.11742561927302175,0.26262177486778066,0.2649792345881626,0.9331120022332632,-0.0028125825338065624,382826.125
ssl_pretrain,5,46,110,0.10062257940193621,0.25790576571737117,0.2606304018886187,0.9285863038841851,0.01290315855294466,380889.28125
ssl_pretrain,5,46,120,0.1383519903003831,0.2822659469250066,0.28521839130531407,0.9469616799841185,-0.013033691793680191,376287.90625
ssl_pretrain,5,46,130,0.12666518510652175,0.27317654797023444,0.27655052074819964,0.9438681721133431,-0.016492260619997978,374691.8125
ssl_pretrain,5,46,140,0.14150848662500584,0.2870283965051651,0.2907426652579,0.9497011811463043,-0.0007751078810542822,372924.84375
ssl_pretrain,5,46,150,0.12965241966553026,0.28807342208872144,0.29225330648869496,0.9449389448441207,-0.012899783439934254,372412.6875
ssl_pretrain,5,46,160,0.09428960517885643,0.27937990772481974,0.28391325009422175,0.9487126257162918,-0.0012572165578603745,370657.875
ssl_pretrain,5,46,170,0.15302786868074564,0.31255082136658596,0.3172770480470827,0.9530033798051956,-0.011770271696150303,369189.8125
ssl_pretrain,5,46,180,0.15659552921871872,0.3237562787537018,0.3287515067825548,0.9538020953900836,0.009263724088668823,367342.28125
ssl_pretrain,5,46,190,0.1723698661607594,0.3129966712027783,0.31842697978186724,0.962004801861301,0.008625941351056099,365550.09375
ssl_pretrain,5,46,200,0.14398423346988973,0.2980774048198089,0.3038743892760184,0.9558071811805011,-0.005428357515484095,366701.625
ssl_pretrain,6,47,10,0.027727542203984323,0.13353604050949525,0.1340089001567219,0.7821939180471753,-0.0053885504603385925,409883.75
ssl_pretrain,6,47,20,0.061000653642544415,0.18081228476834363,0.18160618613019375,0.8806620686590859,-0.006279459688812494,401365.75
ssl_pretrain,6,47,30,0.07694824129816247,0.21347219949388177,0.21439625790018396,0.8918170265225629,0.002830169629305601,397728.90625
ssl_pretrain,6,47,40,0.07635504721208664,0.22708537262291423,0.228303574827613,0.9082545436182684,0.002284260233864188,393769.6875
ssl_pretrain,6,47,50,0.0653065971730866,0.23281451168856052,0.23423255890527683,0.899852807230996,-0.006421924568712711,391879.21875
ssl_pretrain,6,47,60,0.09807739320852846,0.23606954030060256,0.23755318552466395,0.9145743675344812,0.002358001423999667,391300.53125
ssl_pretrain,6,47,70,0.09253398947204831,0.22549512885065737,0.2270576822652518,0.9080098413561567,-0.0038802146445959806,393608.78125
ssl_pretrain,6,47,80,0.07701083873678455,0.20846470678900406,0.21016644182320637,0.9056503403834687,-0.021370036527514458,393827.6875
ssl_pretrain,6,47,90,0.0819479735703276,0.24411700252424595,0.24614065144540595,0.9190131168025479,0.0016011364059522748,389078.3125
ssl_pretrain,6,47,100,0.12141593346739261,0.2528561018399881,0.2551294102642943,0.9412117378302274,-0.010717864148318768,383045.625
ssl_pretrain,6,47,110,0.14344248509648133,0.29039764174183547,0.29296125182459304,0.9439258932592084,0.007646604906767607,379042.625
ssl_pretrain,6,47,120,0.13472158606134368,0.3092823009154106,0.3123025058581938,0.9352957797065118,0.015054607763886452,376924.78125
ssl_pretrain,6,47,130,0.10173576245609052,0.2817196443408398,0.2851651273677954,0.9395243888091608,0.0034915951546281576,375082.75
ssl_pretrain,6,47,140,0.1401820506707373,0.301523448190452,0.3052410943974349,0.9451583180406319,0.0038441219367086887,372682.28125
ssl_pretrain,6,47,150,0.15409967073236855,0.3061351442847762,0.3102002268091201,0.9517674587590328,-0.005436984356492758,370524.21875
ssl_pretrain,6,47,160,0.16748596714585623,0.3120604711229603,0.3163976852823054,0.9559796389446004,8.93374890438281e-05,368811.90625
ssl_pretrain,6,47,170,0.12008448743557176,0.304555958573016,0.30923361287783924,0.954941331537644,-0.00212409277446568,368581.28125
ssl_pretrain,6,47,180,0.12847614436365148,0.294061184041477,0.2993784297558221,0.9481271945464549,0.008366692811250687,368337.21875
ssl_pretrain,6,47,190,0.1193371852346953,0.310092270897267,0.3153471986887597,0.9583083624231489,0.011027630418539047,365395.8125
ssl_pretrain,6,47,200,0.11479912023114457,0.3140136100560066,0.3197029382607923,0.954331734043667,0.004465604200959206,365681.875
ssl_pretrain,7,48,10,0.05046436537375924,0.16508871826486415,0.16564509632488966,0.8586936205551187,-0.002479879418388009,405314.71875
ssl_pretrain,7,48,20,0.0574273907522254,0.19674316077889825,0.19749237854573334,0.8759173402666017,-0.005378812551498413,400880.0625
ssl_pretrain,7,48,30,0.07116058035369165,0.18799179561954502,0.18890711373318458,0.8849678868582541,-0.011734510771930218,400971.09375
ssl_pretrain,7,48,40,0.05588459533719943,0.20376303386009295,0.20485366233333557,0.8519829465433282,0.0020208077039569616,398305.5
ssl_pretrain,7,48,50,0.06943118458053728,0.22661770534690442,0.22786882977400433,0.8781935971788918,-0.03955839201807976,395656.9375
ssl_pretrain,7,48,60,0.052446529156844335,0.19225330636755478,0.19404107012355526,0.8858607847361847,-0.005872086621820927,395447.03125
